budget,uplift,incremental,n_targeted,revenue,cost,profit
0.01,0.2276,113.8,501,2845.0,25.005000000000003,2819.995
0.03724137931034483,0.1395,259.7,1863,6492.5,93.12206896551726,6399.377931034483
0.06448275862068965,0.1242,400.6,3225,10015.0,161.2391379310345,9853.760862068966
0.09172413793103448,0.1085,497.6,4588,12440.0,229.35620689655173,12210.643793103449
0.11896551724137931,0.0929,552.7,5950,13817.500000000002,297.473275862069,13520.026724137933
0.14620689655172414,0.0903,659.9,7312,16497.5,365.59034482758625,16131.909655172414
0.17344827586206898,0.0839,727.6,8674,18190.0,433.7074137931035,17756.292586206895
0.20068965517241383,0.0789,791.6,10037,19790.0,501.82448275862083,19288.17551724138
0.22793103448275864,0.0764,871.2,11399,21780.0,569.9415517241381,21210.05844827586
0.25517241379310346,0.0688,878.2,12761,21955.0,638.0586206896552,21316.941379310345
0.2824137931034483,0.0668,944.0,14124,23600.0,706.1756896551724,22893.824310344826
0.30965517241379314,0.0628,972.8,15486,24320.0,774.2927586206898,23545.70724137931
0.33689655172413796,0.0564,951.0,16848,23775.0,842.409827586207,22932.590172413795
0.3641379310344828,0.053,965.9,18211,24147.5,910.5268965517242,23236.973103448276
0.39137931034482765,0.05,978.2,19573,24455.0,978.6439655172416,23476.35603448276
0.41862068965517246,0.0496,1037.9,20935,25947.500000000004,1046.7610344827588,24900.738965517245
0.4458620689655173,0.0485,1081.3,22298,27032.5,1114.878103448276,25917.621896551726
0.4731034482758621,0.0467,1105.6,23660,27639.999999999996,1182.9951724137932,26457.004827586203
0.5003448275862069,0.0472,1181.5,25022,29537.5,1251.1122413793105,28286.38775862069
0.5275862068965518,0.0465,1227.3,26385,30682.5,1319.2293103448278,29363.27068965517
0.5548275862068965,0.0469,1300.1,27747,32502.499999999996,1387.346379310345,31115.153620689653
0.5820689655172414,0.0442,1288.0,29109,32200.0,1455.4634482758622,30744.536551724137
0.6093103448275863,0.0435,1324.5,30472,33112.5,1523.5805172413795,31588.91948275862
0.636551724137931,0.043,1369.9,31834,34247.5,1591.6975862068966,32655.802413793102
0.6637931034482759,0.0416,1380.9,33196,34522.5,1659.814655172414,32862.68534482759
0.6910344827586208,0.0428,1478.4,34558,36960.0,1727.9317241379313,35232.06827586207
0.7182758620689655,0.0414,1488.6,35921,37215.0,1796.0487931034486,35418.95120689655
0.7455172413793104,0.0415,1548.4,37283,38710.0,1864.165862068966,36845.83413793104
0.7727586206896553,0.0418,1615.6,38645,40390.0,1932.2829310344832,38457.71706896552
0.8,0.0403,1612.9,40008,40322.5,2000.4,38322.1
